;BasalSquamous;Luminal;LuminalInfiltrated;LuminalPapillary;Neuronal
BOLA2;0.00756254745911866;0.000341048343475609;0;0;0
SCAND1;0.00354512697227818;0.0133701360749407;0.00655221088112928;0.00444077865381828;0.00437695498442778
TCEB2;0.0489487523126383;0.00852132794780141;0.00278052092556666;0.00031470608790955;0.00328783105509272
ZNF593;0.0446190164489463;0.0388168751790608;0.00462719254689695;0.00897355943788345;0.0156429058467012
POLR2I;0.0161688175099131;0.022636013178284;0.00798490194363503;0.00179307954693937;0
PPAN;0.0576890215743063;0.00896650900050198;0;0.00428060236275079;0.0209052080344868
NME2;0.114057074214878;0;0;0.0146163861920813;0
ZNF444;0.00937852354821622;0.00380696663074129;0.020570645535454;0.0183130230434723;0.00265510061563393
HDAC10;0.00456357955761971;0.00750976329438916;0.0507209897942018;0.00068398924276305;0.00693638252702809
ANKS3;0.0156533572258742;0.0368256813447935;0.0191378888658838;0.00436763063953255;0.00611401390694723
ZNF337;0.0100439999023052;0.000567575058877867;0.00115236401755977;0;7.13348501874021e-05
NOTCH4;0.0397544148308226;0.0148455693317858;0.0116954730001012;0.00960895196305096;0.0064863684128262
NR2F6;0.0054789114545422;0;0.0324038457261476;0.0161617127748968;0.0114150813379788
IRF9;0.0134326295988301;0.00365184851245071;0.007195016428721;0.00344354675918497;0.00348555735853845
SPOCD1;0.10352977317297;0.00931766075242618;0.0216846770044551;0;0.000609674499992648
TGFB1I1;0.000135220531586098;0.00732354836117994;0.0221184696540663;0.00755568420672707;0.00135859489464449
ZNF469;0.00196715624873268;0.00408884737180615;0.0418278207198119;0.00793406479797711;0.00917968340829135
MEIS3;0.000503204879183107;0.000786541661698977;0.00685266385610527;0.000522098518661878;0.000332827371215697
GLIS1;0.00104388169107995;0.00157094475890647;0.0138851535666496;0.000768772689153895;0.000516111185954041
PTRF;0.0363771823077525;0.123999819511528;0.145645715033611;0.0699500827836071;0.0694136586987768
TWIST2;0.000254840765368438;0.00741822107112567;0.00364778380128089;2.779631847981e-05;0.0220935059788383
GLI2;0.00222695791340171;0;0.00138290678232507;0.00081650604129639;0
HIC1;0.0013903953730957;0.00582294667515245;0.000156134344481684;9.91734132226854e-05;0.00192468180971439
TCF21;3.02476970133439e-05;0.0143392413902556;0.0108749897025865;0.0121517464123516;0.0156866157965793
TCF7L1;0.000558327115627081;0.00314089256528082;0.0126897325438042;0;0.00293729714100141
MSC;0.00529709996481735;0;0.00884561345274677;2.00895189904192e-05;0
AEBP1;0.0947096766851467;0.0877094705405579;0.101436555240294;0.00607941210842487;0.0293299971985635
PRRX2;0.0103235358569988;0.000920302567528632;0.00929055047137909;0.00151823075767978;0
ZFPM2;0.00663251855343848;0.00605829317867723;0.0297288718772912;0.00374112306783763;0.00390759694565991
NAP1L3;0.000319617520948004;0.0046660507884109;0.0048157261482471;6.3011723950063e-06;0.0010387916924255
HAND2;0.0214474869392588;0.00332842776231232;0.00718262935583477;0.00617857922373945;0.0441478198037257
GLIS2;0.00689008793808367;0.00458793126070591;0.00207646431358545;8.69356905192567e-05;0.00286265709401643
CSDC2;0.118602993761957;0.0876344908071139;0.079780044011192;2.51020746316878e-05;0.0964730120512514
PRRX1;0.102205557626463;0.124603841847972;0.055434427826216;0.0425894232164601;0.174166743516089
TWIST1;0.0214304791769215;0.00736471008380775;0.0256980767985168;0.000223634096631815;0.0179481295115596
TRPS1;0.0291192466472433;0.0252566853449277;0.0278190706710506;0.00172685140518994;0.0352855645727605
ZNF195;0.000574498722023554;0.0268188190357038;0.0182967819430613;0.0011321292590843;0
ZNF443;0.00435555129515419;0.10663827464287;0.281706683000336;0.0148964554741189;0.16452980545132
CRAMP1L;0.00124789162138676;0.00205023835600328;0.0089525846944899;0.0015492136398304;0.00232284423607561
ZNF84;0.00341727815649617;0.0034758762502343;0.0813157648599703;0.00298068902901419;0.000156344543925093
ZKSCAN1;0.00487997257186157;0.0292715129183055;0.00597217670211019;0.0129596147741273;0
RUNX3;0.0288850915688246;0.114684867461083;0.0211085747477846;0.000719595112309605;0.0404325836827274
SPI1;0.00815074049701079;0.060522509499725;0.061916872636251;0.107281044502593;0.0367012560044789
CIITA;0.0081627223312965;0;0.0127060655859821;0.00638656753449392;0.00983923476822419
MNDA;0.021661492037875;0.030898775890569;0.146672048164397;0.000695737583151882;0.0244924238693331
IRF8;0.0323797061847922;0.0385112221587578;0.0158059929139197;0.0372085113010393;0.0103286594485467
TFEC;0.000633595715492911;0.0112721358532367;0.0415335658185161;0.0206004732600519;0
FOXP3;0.0263873355590374;0;0.00749442231787803;0.000232126215782317;0
HES2;0.00237603690526513;0.0954296278764055;0.111527502749277;0.0117123898360427;0.0542986602418586
DRAP1;0.0300404477489517;0.0129762275453937;0;0.004536545406425;0
ZNF688;0.00875908525499561;0.0109399844670209;0.0224414828947908;0.00542506313489002;0.00877823535569376
GLI4;0.00884203207819236;0.0121009508325243;0.0121891229743123;0;0.00684843797901674
TBX21;0.00226671265275253;0.0247334519099245;0;0.00504047230217302;0.00745833089443753
IRF4;0.00212131923934914;0.00697863973913868;0.0245374028280095;0.00754384627274017;0.0605896944981282
SLA2;0.0128722634985425;0;0.0129281959331728;0.00881208459589139;0.0188188517428318
VENTX;0.0045908665000967;0.0303571310795647;0.0250548291972986;0.00292797214445467;0.00474835611775
BACH2;7.75288965172283e-07;0.00119397833528149;0.0101218564576916;0;0
STAT4;0.0107792751695779;0.000157365679513496;0.036400780207012;0.00534257520342977;0.00793610729352463
FLI1;0.00137718663427529;0.0246092220176178;0;0.00679281490026517;0.000484631931197195
EOMES;0.00457470654192134;0.0193720720880217;0.00499009750087576;0.00165851324135476;0.0300310360628276
MXD3;0.00820171078320571;0.0024152520431069;0.00116072805348062;0.004607727714593;0.00953608307253768
JRK;0.00216837847202831;0.0148581340657921;0.00410357216481689;0.000429936056218349;0.00244578027963965
SPIB;0.00157437013023724;0.000516596658811622;0;0.00129563765085969;0.0015346865185284
BIN1;0.000723229875105687;0.00935483848606308;0.0229121888530265;0.015840326013322;0.0202623075424333
ETV1;0.00234275457276499;0.0019525725202063;0.000508177682413391;0.00402555875585497;0.00557389811667228
PGR;1.38252255465711e-05;6.29604810474688e-05;0;0;0
FOXF1;0.00685688488958552;0.000843499860941119;0.00608330992640131;0.00130640716385057;0.00103392583747803
TCF4;0.00165466806406732;0.0015124858662988;0.0114607251224057;0.00175960258633638;0
GTF2I;0.00424475816009663;0.0022382274678176;0.00366065608085956;0.000603745690450138;0.00322299045148325
GTF2H3;0.00177314392622346;0.0189301657359106;0.0436585076372382;0.00200670115156082;0
ZNF281;0.0107497416452939;0.0031793315976749;0.00330814904432982;0.00169319536536789;0
NCOR1;0.00196024467784785;0.00726782148707446;3.88804072391221e-05;0.00233869469523018;0.000388899845673286
ZNF430;0.0181520875510919;0.00132354492393338;0.00343328931711789;0.000708065693793663;0
GTF3C4;0.00371937213467068;0.00413386260950635;0.00486671679709514;0.00643389697501535;0.010176891668595
TMF1;0.0138244862518402;0.000409222683822727;0.00955229188940344;0.000276894179834103;0.000924220437780268
SHPRH;0.000267010277622117;0.0090439800874528;0.0020586288557464;0.000230305553474123;0.0044479582197081
BRPF3;0.00681151527076091;0.00289682304408796;0.00120967734805945;0.000268336487747271;0
AFF4;0.00207512172921272;0;0.000772247681939257;0;0.00144787659357509
NCOA2;0.00364691546938216;0.00984197550497324;0.00781930934584961;0.00185735410246936;0.00260309644501418
CLOCK;0.00897918535348186;0.00384451926002722;0.00501827631777382;0.00270383096475592;0.035840582746375
ATF2;0.0054529671135897;0.00431771533965312;0.000316299647895306;0.000896358367373393;0.0066417354440131
EPC1;0.00642449333043945;0.000334955501243982;0.000870627900530414;0.00331716399825206;0.00129601824235332
GTF2A1;0.00384675840937676;0.0181432812622868;0.0455297596807453;0.00309493689105013;0.0539605665851415
REL;0.00230019689598408;0.00397608687731521;0.00496107734945732;0.00240251180261667;9.16868905021883e-05
ETV3;0.00283309661178088;0;0.000836805875065677;0.000787931367438665;0.00414251801411158
ATF7IP;0.0338447553566159;0.00303279771437615;0.00222510670356637;0.00012825276542778;0.00127284184983022
NFATC2;0.0234936629741717;0.000276684031768266;0;0;0.000624395575863265
APC;0.000343021458084323;0;0.00278765944336494;0.00561312881393318;0.0101228776011748
ASH1L;0.0053352751450089;0;0.0318664752897745;0.00176145241341606;0.00576183127764073
ZNF641;0.00375688619354786;0.00238006052115639;0.00114421621563063;4.21076863713337e-05;0.00183319745694596
GATA6;5.85272543577335e-05;0;7.65674654690932e-06;0.000698370907084116;0
ZNF551;0.018646204030078;0.000426779708264946;0.001002478005383;0;0.00183824973973089
ZBTB39;0.0017189195225585;0;0.00053084112167501;0.000136315951120663;0.00145807440584722
ZNF234;0.000359384277328417;0.000264012675065225;0;0.000230724104310785;0.000437236290265495
ZNF81;0.000171421480054858;5.68035281354272e-05;0.00102800957930974;0.000431407086512044;0.00271493170700865
TOB1;0.00191627797317488;0.0281720678873503;0.0393615426658845;0.0134508730736637;0.000283616522359648
TSHZ3;7.31808365895695e-05;0.00131502317440746;0.00782843845823405;0.000160772291822515;0
SNAI1;0.00207311976278422;0.00363030387458045;0.00372033749453653;0.000148881062189412;0.0554671729922486
SOX17;0.00456515961478899;0.00394428124490442;0.0303260905805165;0.000123311069508486;0.0119693747374316
HEYL;0.00130998430737315;0.00301445149902585;0.00371760136992732;0.00801978255438711;0.000995816213261828
BCL6B;0.00337583602593402;0.00231701869191432;0.0163352754531074;0.00518666266513774;0.0157854904170841
KLF2;9.10739977807269e-05;0.0334880355838783;0.00546639702617918;0.00894016783385365;0.00194932102599438
MEF2C;0.000511858728162208;0.00348359707737016;0.0110635036152011;0.0175096797736662;0.0404639007323298
LEF1;3.97332599374891e-05;0.000878836780066581;3.41877477265821e-05;3.67631935702099e-05;0.000293074098805716
ERG;0.0334927765708839;0.000849448948753564;0.01495322711344;0.00136187856089469;0.0176851515640513
LDB2;0.0015283800841292;0.0110533270886034;0.0108374547133963;0.0216919487382672;0.0451344648567834
APBB2;0.000198639654735008;0.000310069897341995;0.00374383410488413;0.000192318118198509;0.00235046743411917
MEOX2;0.00118967915515032;0.0001253744121476;0.000199526635788393;4.65932932817062e-05;0
KLF9;0.000239406518792611;0.000834074135922438;0.00583398754635077;0.0015530058171993;0
LZTS1;0.00219143534038951;0.00305110853683752;0.00342145844273085;0.00490251384083513;0.000708174074994316
MITF;0.00785818754439672;0.000586770661232887;0.0014561429509008;0.00303700152203112;0.00302085300823631
NFIX;0.000151908173246697;0;0;0;0.000163166402926996
WWTR1;0.00100257833061814;0.00205016952487431;0.00757986021386433;0.000851699752372157;0.00256922998132719
MKX;6.40504164622091e-05;0.00162678819234966;0;0.000190943615611247;0.00277706638099409
MLXIP;1.34124382532668e-05;0.00436854948582379;0.00413893437925404;0.00047916707452392;0.00564743735276879
EGR2;0.000911271976094647;0.000963697909544802;0.00894803160917442;0.000150013911667786;0.00083948424990687
EGR3;0.000840306407517274;0.000272129691765901;0.000732046195629953;0.00131824070568111;0.000183812920334618
RUNX1T1;0.00630064924221095;0.000173422458728214;6.34158692194396e-05;0.0356404824742872;0.000234502632727411
SETBP1;0.0106769894753874;0.000363939155764429;0.00156791638256956;0;0
MYBL2;0.00328582854624307;0.000551122826505579;0.000137578663452918;0.000526647848203438;0.0142300500704945
MCM7;0.00242502249349877;0.00560382693082009;0.00779175867592722;3.08743308895597e-05;0
FOXM1;0.00278876562670032;0.00144548618424019;0.000523463024534326;0.000641756795030298;0
ESPL1;0.00603929441379146;0.000424368712728541;0.00785452528390554;0.000329076294742326;0.00188026546692666
HMGB2;0.0089277321029864;0.000999629462783066;0.00956573797737877;0.00403596715506169;0.00267273319062531
EZH2;0.00452101120703777;0.0242648014035585;0.017574083698686;0.000259791402942067;0.000144792830609031
MCM6;0.00172039455778951;0.000552151638288489;0.00270763576791108;0.000589875004487844;0
TIMELESS;0.00542473449337755;0.00167253995373994;0.00721025054101093;0.000738559286627227;0.000109730636492881
WDHD1;0.0158238760952949;0.00346833734030918;0.00563512818211466;0.000376970967100759;0.0137407238172859
WHSC1;0.0252304397010874;0.00268177849148227;0.00534933709972986;0.00415826499483668;0.00783144992999475
LYL1;0.000238233273851166;0;0.0157751308055953;0.00157030698607412;0.00832665718826897
MEOX1;0.00289018871241524;0.0131502946443898;0.00633113095128429;0.00690605421670998;0
TRIM22;0.0048461000132096;0.00825679413275481;0.0376119161865318;0.00800137739185888;0.00561714930451749
TOX;0.000117293997845194;0.000276144464616204;0.000194947279588251;0.00653391321635566;0.00330099314663029
ZBTB7B;0.000983739380733921;0;0.00411162467780317;0.00816286524201158;0
MTF1;0.00931483909375119;0;0.00377075991694295;0.00422596109133121;0
ZNF92;0.0103725617454058;0.00419547126144775;0.00615357290961926;0.00163310131764928;0.000693560993340618
HEY2;0.00368652726200369;0.0010110550064684;0.00688968896623678;0.00291605299858476;0.00123257039442276
IRF1;0.00723699855665626;0.00147163419869186;0.0402533550427804;0.00961273305197489;0.0170845251439882
ZNF169;0.0113751086900263;0.00112644166012964;0.00153610841018475;0.00175941956044025;0.000455785029804081
TRIM31;0.00518302453165925;0.0119926119060704;0.00918937348469507;0.000831470117119895;5.93338349161933e-05
TBX6;0.000529281829707222;0.0403404979219934;0.015428693853024;0.00629248207231218;0.00238396579879088
SMAD3;0.000949834590615125;0.00109165294298824;0.00215438786198617;0.00101843922286241;0.00119065296109122
FHL5;0.00055556690160806;0.000886104627379488;0.00103808345481366;0.00363432495647324;0.00585738621000723
EBF3;0.000184325746904219;0.000182143648841503;0.000970529485351915;0.00297737046462457;0.00548044576931094
NFXL1;0.000161399919382191;0.0167115108802896;0.0090899440024239;0;0.000704370922651336
ZNF431;0.00859504467980949;6.50411532667282e-05;0.0042334930493835;0.000718205570658312;8.29592690574509e-05
ZNF236;0.000630722366843004;0.000599130143993749;0.00109380250087426;0.00104235333209782;0.0089617810958593
POLR1B;0.00388651244049058;0.00579609914966794;0.00184830656897275;0.0104697678958711;0.00769120826576202
BTAF1;0.000669551085970929;0.0167833097880093;0.00208262493909946;4.24849337946794e-05;0
ZBTB26;0.00349779567284011;0.000656888765054814;0.00062111808852061;2.62909470164076e-05;0.00798914803820845
NR2C2;0.00629016233968816;8.35746996253332e-05;0;0;0
ZNF518A;0.00393618360272181;0.0237118361471389;0.0157395732851701;0.0124187190740007;0.0232069456284629
ZNF587;0.00891814504258216;0.00974437221529618;0;0.000550172208531987;0
ZSCAN23;0.0252065359024499;0.00124546612123212;0;0.000430704656545492;0
BRCA1;0.00148287478554736;0.00244045780765303;0.00421932199786856;0.00245338903243408;0.00351004063173088
DEK;0.00849038822410308;0.0105229526097247;0.0267909641116543;0.00249799798692992;0.0212302278249082
SUV39H2;0.000532022570699166;0.00112850921460695;0.00444009598059858;0.00128823174061199;0
MCM8;0.000594158652834252;0.0017730422352944;9.9353646324269e-06;0.00120273816549533;0.00017568971035499
KNTC1;0.000106980002774134;0.00479983536876199;0.00246155669422059;0.00667187492201846;0.000685751707124951
DNMT1;0.00170825376085314;0.0458227548315828;0.16361459065252;0.0108305196720355;0.0504398117698543
BRCA2;0.0106683496212447;0;0.00591552121960842;0.00062850851639196;0
BARD1;0.00835068413347806;0.00105000810902371;0;0.00155967956704361;0.00443603686702866
BRIP1;0.00113709900185852;0.00484280733755163;0.0109192907127833;0.00210177303370348;0.000809919601440657
RBL1;0.0292621135857534;0.00106774390434915;0.000600573203784351;0.000911861561087153;0.0320710410255827
MCM4;0.085115747829866;0.0157996049110282;0.0121101089209542;0.000813286130061187;0.00307842323056661
HCLS1;0.0064054347485735;0.0155750838507009;0.0314854648069726;0.00382393145235351;0.00523819648798806
NFKBIA;0.00086028151182765;0.000457595069682554;0.000577908588779893;0.000833679208814543;0.000496936762162364
NFKBIZ;0.000492179586644655;0.000978421418418388;0.00185403535754657;0.00165747046228814;3.33120126352051e-18
RAD51;0.000846837967670783;0.00151203915463061;0.0108151527603573;0.00056090213438995;0
ZNF695;0.0212188830430376;0.000791350755903325;0.00445540598405199;0.00298026438361078;0.000644192773475861
PTTG1;0.021176349921033;0.0368511544568744;0.00836929396064247;0.00471937135159488;0.0234420196987889
E2F2;1.41886787042319e-05;4.60168075628385e-05;0.000200228141445137;1.16120172050448e-05;2.99328605599124e-05
E2F1;0.00164096552916259;0.00114824024253444;0.00479004800086002;0.00119491344364929;0.00240852853353179
TRIP13;0.0143696004088422;0.000248685958835912;0.000845279032035435;0.000451702014822304;0.0129254852355689
MCM5;0.0126388468526488;0.000741217026531133;0.00206688976997294;0.000831260986873846;0.0032443881922397
CHAF1A;0.000358738399395682;0.000588273700808783;0.00380689595734153;0.000363997411204024;0
TAF13;0.000583699166883784;0.000247827114907842;0.000588518376204973;0.00238533921115681;0
ELK3;0.0321425188198488;0.00194227144776245;0.020282606245276;0.00824756741821934;0.00756952328739991
TAF1L;0.00603055659035353;0;1.95461371771594e-05;0.000237135565230632;7.91833533738961e-06
ZNF366;0.00182592426722606;0.002214886315136;0.00297610374638573;0.00171393829416228;0.00202389709948097
HDAC4;0.000654883301479048;0;0.00112203383671486;0;0
TAL1;2.11241639171285e-05;0.000694821405883632;0.0016311679269707;0.00133882109226729;0.000747040255836468
HMGN2;0.00092885805275299;0.00129071504181361;0.00319872911419945;0.000503221264452624;0.0126298404907273
FOSL1;0.0040702562668687;0.0100956921595838;0.0186711925486746;0.00524830965715202;0.00604572190382514
ELF1;0.00922483248371487;0.0109317171772483;0.00507146482819089;0.00585181279983568;0.00108101215337357
MKL2;0.00371614934693049;0.00121867371768185;0.00803541725301357;0.00113218370229318;0
ZNF397;0.0115881023816793;0.00377297264439493;0.0135135135135135;0.00912434069039114;0.0014229570692441
XRCC3;0.00306729012170154;0.00259711845775962;6.72938279288101e-05;0.000980877953568104;0.000217061905512214
TAF1;0.00105205529580323;0;0.00328231611127908;3.2951594522351e-05;0
GLI1;0.000238881555248835;9.00738635466269e-05;0;0;0
KLF3;0.0479846986511343;0;0.0207995065524518;0;0.0122163774500804
ZNF292;0.000666558413944647;0;0.000700083830600007;0.00136556278388791;0
BDP1;4.3241088292516e-05;0;0;0.00103539191524333;0
ZNF121;0.0116231177166863;0.000689999244877662;0.00105466531599796;0.00306859656609257;0.00169838246021938
ZNF507;0.00724350323263842;0.000220754003630308;0;0.00365991927125405;0.00145439043319307
ZDHHC21;0.000250025466779211;0.0297147146704046;0.0012739329441261;0.00259184598779408;0
ZNF41;0.00112751194846274;0.00119995787679869;0.00569446916514811;0.00621013732004311;0
ZBTB43;0.00207961975573632;0;0.00100412791074078;0.00164232277235953;0
ELK4;0.0241486536164902;0.000295405789454298;0.00148181310206375;0.000245535742747254;0.00593945889939085
TTF2;0.00325529160788858;0.00160826603486643;0.0021341586941139;0.00193737183210373;0.000324376111881227
ZNF131;0.00486915809778951;0;0.00143690526689151;0.00664988979072346;0
E2F7;3.13665937373507e-05;0.001442835462524;0.0147653278111019;0.00255424362018542;0.00409663611745636
TFDP1;0.000970252246775969;0;0.0179205985530746;0.0110973012642807;0.0371273023602582
ASCC3;0.00786828602346675;0.00441577214137837;0.00145030685538297;0.00345396380414023;0
ZNF689;0.0162138130121567;0.0106256159743185;0.000879407914172877;0.000184080334379995;0.0085698431215078
JMJD1C;0.00462274008767065;0.00323710567424547;0.00171525725472749;0.00570573029408211;0.0105414859657522
AFF3;4.66503743759554e-05;0.00103093995396707;0.000589077631784034;0.000199767302687969;0.00174708929819117
NR4A3;0.00233055782020781;0.000558615356728229;0.000169600747304451;0.000542955015197319;0.000543986213559254
APBB1;0.013686870298569;0.00959780407449942;0.0107701275615306;0.0052189073548838;0.000521552048370013
MYOCD;0.00207579390466356;0.00434229614046584;0.00278784040054604;0.0328951080176796;0.0131096573936178
ZBTB16;0.000150347160669741;0.000115896478235537;0;0.000132693800374751;0
STAT1;0.00137693678728465;0.0157536213370172;0.176046331938921;0.00829960866140725;0.131238287530631
SP110;0.00031009413489107;0.00471761047696305;0.021236309188197;0.00422492279741856;0.00516062991794762
SP100;0.00285148914787268;0.00106142544279702;5.4444051241281e-05;9.59443808361409e-05;0.00106026533264106
ZNFX1;0.00166574459224913;0.00197261678128891;0.00158290788762939;0.000427730916602464;0
NR5A2;0.00251594684471015;0.00180328839021572;0.00424793129192936;0.000643946340084727;0.00195814887216595
EGR1;0.00165658181177259;0.00148611240247347;0.00525624467763288;0.00147957849928231;0.00112607759561846
ZNF160;0.00010608404623496;0;0.000216073343798084;0.000266182306465417;6.72795352670287e-06
RBL2;0.00380903377206489;0.0138886565860246;0.000833767776801839;0.00166992040112375;0
PHF8;0.00142552964902705;0.00174030065605512;0.00878898464619801;0.000182590556811187;0
